sku,shopifyId,newBrand,newTitle
GA-TEE-GAMP-BLK-SM,8138528456883,Gibson,Gibson Guitars and Amplifiers Tee
GA-TEE-GAMP-BLK-MD,8138528587955,Gibson,Gibson Guitars and Amplifiers Tee
GA-TEE-GAMP-BLK-LG,8138528686259,Gibson,Gibson Guitars and Amplifiers Tee
GA-TEE-GAMP-BLK-XL,8138528325811,Gibson,Gibson Guitars and Amplifiers Tee
GA-TEE-GAMP-BLK-2X,8138528882867,Gibson,Gibson Guitars and Amplifiers Tee
GA-TEE-GAMP-BLK-3X,8138528817331,Gibson,Gibson Guitars and Amplifiers Tee
GA-TBVMSM,8138528161971,Gibson,Gibson Thunderbird T
GA-TBVMMD,8138528424115,Gibson,Gibson Thunderbird T
GA-TBVMLG,8167253672115,Gibson,Gibson Thunderbird T
GA-TBVMXL,8138528293043,Gibson,Gibson Thunderbird T
GA-TBVMXXL,8138528030899,Gibson,Gibson Thunderbird T
GA-GCRMSM,8138548510899,Gibson,Gibson Gibson Custom T
GA-GCRMMD,8167260553395,Gibson,Gibson Gibson Custom T
GA-GCRMLG,8138548674739,Gibson,Gibson Gibson Custom T
GA-GCRMXL,8138548543667,Gibson,Gibson Gibson Custom T
GA-GCRMXXL,8138548478131,Gibson,Gibson Gibson Custom T
GA-FBBMSM,8138600153267,Gibson,Gibson Firebird T (Black)
GA-FBBMMD,8138600054963,Gibson,Gibson Firebird T (Black)
GA-FBBMLG,8138600251571,Gibson,Gibson Firebird T (Black)
GA-FBBMXL,8138599432371,Gibson,Gibson Firebird T (Black)
GA-FBBMXXL,8138599301299,Gibson,Gibson Firebird T (Black)
GA-FBWMSM,8138598252723,Gibson,Gibson Firebird T (White)
GA-FBWMMD,8138598547635,Gibson,Gibson Firebird T (White)
GA-FBWMLG,8138598383795,Gibson,Gibson Firebird T (White)
GA-FBWMXL,8138598121651,Gibson,Gibson Firebird T (White)
GA-FBWMXXL,8138597990579,Gibson,Gibson Firebird T (White)
GA-TEE-HAND-CRM-SM,8138527735987,Gibson,Gibson Handmade in Nashville Tee
GA-TEE-HAND-CRM-MD,8138527834291,Gibson,Gibson Handmade in Nashville Tee
GA-TEE-HAND-CRM-LG,8138527932595,Gibson,Gibson Handmade in Nashville Tee
GA-TEE-HAND-CRM-XL,8138529833139,Gibson,Gibson Handmade in Nashville Tee
GA-TEE-HAND-CRM-2X,8138528063667,Gibson,Gibson Handmade in Nashville Tee
GA-TEE-HAND-CRM-3X,8138528194739,Gibson,Gibson Handmade in Nashville Tee
EA-TEE-MBSTR-BLU-SM,8138625089715,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
EA-TEE-MBSTR-BLU-MD,8138625024179,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
EA-TEE-MBSTR-BLU-LG,8138625319091,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
EA-TEE-MBSTR-BLU-XL,8138624925875,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
EA-TEE-MBSTR-BLU-2X,8138625384627,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
EA-TEE-MBSTR-BLU-3X,8138625188019,Epiphone,Epiphone Masterbilt Strings Tee (Sky Blue)​
GA-GG-GSTARSTEE-SM,8138606706867,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
GA-GG-GSTARSTEE-MD,8138606870707,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
GA-GG-GSTARSTEE-LG,8138606772403,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
GA-GG-GSTARSTEE-XL,8138606608563,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
GA-GG-GSTARSTEE-2X,8138607132851,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
GA-GG-GSTARSTEE-3X,8138606936243,Gibson,Gibson Guitars of the Stars Shop Tee (Black)
EA-TEE-HOUSE-RED-SM,8112787095731,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
EA-TEE-HOUSE-RED-MD,8112787161267,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
EA-TEE-HOUSE-RED-LG,8112337191091,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
EA-TEE-HOUSE-RED-XL,8112787062963,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
EA-TEE-HOUSE-RED-2X,8112787194035,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
EA-TEE-HOUSE-RED-3X,8112787226803,Epiphone,Epiphone The House of Stathopoulo Tee (Maroon)
GA-GG-GRYHAT,8138607034547,Gibson,Gibson Gibson Gold Star Trucker 
GA-GG-GGT,8138548314291,Gibson,Gibson Gibson Guitar Co. Trucker
ASGG-700,#VALUE!,Gibson,Gibson The Gibson USA (Padded)
GA-GG-TTKSM,8138595598515,Gibson,Gibson Tristar Tank
GA-GG-TTKMD,8138596286643,Gibson,Gibson Tristar Tank
GA-GG-TTKLG,8138596384947,Gibson,Gibson Tristar Tank
GA-GG-TTKXL,8138595762355,Gibson,Gibson Tristar Tank
GA-GG-TTK2X,8138596581555,Gibson,Gibson Tristar Tank
GA-GG-NMTXS,8138594123955,Gibson,Gibson Nashville Men's Tee
GA-GG-NMTSM,8138594287795,Gibson,Gibson Nashville Men's Tee
GA-GG-NMTMD,8138594418867,Gibson,Gibson Nashville Men's Tee
GA-GG-NMTLG,8138594713779,Gibson,Gibson Nashville Men's Tee
GA-GG-NMTXL,8138593992883,Gibson,Gibson Nashville Men's Tee
GA-GG-NMT2X,8138594582707,Gibson,Gibson Nashville Men's Tee
GA-GG-TBBXS,8138597073075,Gibson,Gibson Tristar Baseball Tee
GA-GG-TBBSM,8138597204147,Gibson,Gibson Tristar Baseball Tee
GA-GG-TBBMD,8138596942003,Gibson,Gibson Tristar Baseball Tee
GA-GG-TBBLG,8138597040307,Gibson,Gibson Tristar Baseball Tee
GA-GG-TBBXL,8138597007539,Gibson,Gibson Tristar Baseball Tee
GA-GG-TBB2X,8138597138611,Gibson,Gibson Tristar Baseball Tee
GA-BND1,8138603331763,Gibson,Gibson Gibson Bandana
PRDK-030,8138579247283,Gibson,Gibson Backplate Combo
PRPG-020,8138580754611,Gibson,"Gibson Les Paul Custom 5-Ply Pickguard, Black"
PTTP-030,8138582098099,Gibson,Gibson TP-6 Stop Bar/Tailpiece
PTTP-040,8138582130867,Gibson,Gibson TP-6 Stop Bar/Tailpiece
ASSFCASE-BRN,8138652450995,Gibson,"Gibson Premium Softcase, Brown, Les Paul / SG"
ASSFCASE-CRM,8138652287155,Gibson,"Gibson Premium Softcase, Cream, Les Paul / SG"
ASSFCASE-BLK,8138652614835,Gibson,"Gibson Premium Softcase, Black, Les Paul / SG"
ASVS-EMB,8138654744755,Gibson,Gibson The Ember
ASVS-MOS,8138653728947,Gibson,Gibson The Mosaic
ASVS-ORL,8138653892787,Gibson,Gibson The Orange Lily
ASVS-PRM,8138653630643,Gibson,Gibson The Primrose
ASAC-TAN,8138646749363,Gibson,Gibson The Montana
ASWV-BRN,8138644095155,Gibson,Gibson The Western Vintage
ASCL-BRN,8138644947123,Gibson,Gibson The Classic (Brown)
ASBELT-BLK,8138645668019,Gibson,Gibson The Seatbelt (Black)
ASBELT-WHT,8138645602483,Gibson,Gibson The Seatbelt (White)
ASBELT-RED,8138645864627,Gibson,Gibson The Seatbelt (Red)
ASBOLT-BLK,8138645373107,Gibson,Gibson The Lightning Bolt Seatbelt (Black)
ASBOLT-WHT,8138645209267,Gibson,Gibson The Lightning Bolt Seatbelt (White)
ASBOLT-RED,8138645504179,Gibson,Gibson The Lightning Bolt Seatbelt (Red)
ASCNVS-BLK,8138647404723,Gibson,Gibson The Canvas (Black)
ASCNVS-WHT,8138647208115,Gibson,Gibson The Canvas (White)
ASCNVS-GRN,8138647306419,Gibson,Gibson The Canvas (Green)
ASVBLT-BLK,8138642194611,Gibson,Gibson The Vintage Bolt (Black)
ASVBLT-GRY,8138641965235,Gibson,Gibson The Vintage Bolt (Gray)
ASVBLT-TAN,8138641866931,Gibson,Gibson The Vintage Bolt (Tan)
ASTRBDR-BLK,8138642456755,Gibson,Gibson The Troubadour (Black)
ASTRBDR-BRN,8138642325683,Gibson,Gibson The Troubadour (Brown)
ASCL-BLK,8138645078195,Gibson,Gibson The Classic (Black)
GPUB-TC-SLASH-CUS,8167238303923,Gibson,"Gibson The Collection: Slash, Custom Edition"
GPUB-TC-SLASH-DLX,8167238402227,Gibson,"Gibson The Collection: Slash, Deluxe Edition"
GPUB-TC-SLASH-STD,8167238500531,Gibson,"Gibson The Collection: Slash, Standard Edition"
ASVS-BLU,8138654843059,Gibson,Gibson The Prism
GA-TEE-MAEST-RED-SM,8138527015091,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-MAEST-RED-MD,8138526949555,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-MAEST-RED-LG,8138527080627,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-MAEST-RED-XL,8138526818483,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-MAEST-RED-2X,8138527965363,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-MAEST-RED-3X,8138527178931,Maestro,Maestro Maestro Trumpets Tee (Crimson)
GA-TEE-SDWV-BLK-SM,8138525016243,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-BLK-MD,8138525409459,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-BLK-LG,8138525245619,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-BLK-XL,8138524885171,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-BLK-2X,8138525769907,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-BLK-3X,8138525507763,Gibson,Gibson Soundwave Tee
GA-TEE-SDWV-WHT-SM,8138524459187,Gibson,Gibson Soundwave Tee (White)
GA-TEE-SDWV-WHT-MD,8138524393651,Gibson,Gibson Soundwave Tee (White)
GA-TEE-SDWV-WHT-LG,8138524524723,Gibson,Gibson Soundwave Tee (White)
GA-TEE-SDWV-WHT-XL,8138527506611,Gibson,Gibson Soundwave Tee (White)
GA-TEE-SDWV-WHT-2X,8138524688563,Gibson,Gibson Soundwave Tee (White)
GA-TEE-SDWV-WHT-3X,8138524590259,Gibson,Gibson Soundwave Tee (White)
GA-TEE-RNBW-BLK-SM,8138526425267,Gibson,Gibson Rainbow Tee
GA-TEE-RNBW-BLK-MD,8138526654643,Gibson,Gibson Rainbow Tee
GA-TEE-RNBW-BLK-LG,8138524754099,Gibson,Gibson Rainbow Tee
GA-TEE-RNBW-BLK-XL,8138526523571,Gibson,Gibson Rainbow Tee
GA-TEE-RNBW-BLK-2X,8138525049011,Gibson,Gibson Rainbow Tee
GA-TEE-RNBW-BLK-3X,8138525180083,Gibson,Gibson Rainbow Tee
GA-TEE-FLRL-BLK-SM,8138529767603,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLK-MD,8138529669299,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLK-LG,8138524721331,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLK-XL,8138529570995,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLK-2X,8138525081779,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLK-3X,8138524852403,Gibson,Gibson Floral Block Logo Tee (Black)
GA-TEE-FLRL-BLU-SM,8138529046707,Gibson,Gibson Floral Block Logo Tee
GA-TEE-FLRL-BLU-MD,8138529145011,Gibson,Gibson Floral Block Logo Tee
GA-TEE-FLRL-BLU-LG,8138529341619,Gibson,Gibson Floral Block Logo Tee
GA-TEE-FLRL-BLU-XL,8138528948403,Gibson,Gibson Floral Block Logo Tee
GA-TEE-FLRL-BLU-2X,8138529439923,Gibson,Gibson Floral Block Logo Tee
GA-TEE-FLRL-BLU-3X,8138529243315,Gibson,Gibson Floral Block Logo Tee
GA-LSTEE-FLRL-WHT-SM,8138539499699,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-LSTEE-FLRL-WHT-MD,8138533142707,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-LSTEE-FLRL-WHT-LG,8138533961907,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-LSTEE-FLRL-WHT-XL,8138533077171,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-LSTEE-FLRL-WHT-2X,8138534060211,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-LSTEE-FLRL-WHT-3X,8138533241011,Gibson,Gibson Floral Block Logo Long Sleeve Tee (White)
GA-TEE-FRETS-ORN-SM,8167240466611,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-FRETS-ORN-MD,8167240401075,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-FRETS-ORN-LG,8167240302771,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-FRETS-ORN-XL,8167240138931,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-FRETS-ORN-2X,8167240204467,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-FRETS-ORN-3X,8167242596531,Gibson,Gibson Frets Heard 'Round the World Tee (Orange)
GA-TEE-ELEC-BLU-SM,8138525212851,Gibson,Gibson Electronic Development Tee
GA-TEE-ELEC-BLU-MD,8138525376691,Gibson,Gibson Electronic Development Tee
GA-TEE-ELEC-BLU-LG,8138525540531,Gibson,Gibson Electronic Development Tee
GA-TEE-ELEC-BLU-XL,8138524950707,Gibson,Gibson Electronic Development Tee
GA-TEE-ELEC-BLU-2X,8138525671603,Gibson,Gibson Electronic Development Tee
GA-TEE-ELEC-BLU-3X,8138525737139,Gibson,Gibson Electronic Development Tee
GA-TEE-BAND-GRN-SM,8138527998131,Gibson,Gibson The Band Tee (Army Green)
GA-TEE-BAND-GRN-MD,8138527867059,Gibson,Gibson The Band Tee (Army Green)
GA-TEE-BAND-GRN-LG,8138528129203,Gibson,Gibson The Band Tee (Army Green)
GA-TEE-BAND-GRN-XL,8138527768755,Gibson,Gibson The Band Tee (Army Green)
GA-TEE-BAND-GRN-2X,8138528391347,Gibson,Gibson The Band Tee (Army Green)
GA-TEE-BAND-GRN-3X,8138528227507,Gibson,Gibson The Band Tee (Army Green)
GA-GG-TLPXS,8138596679859,Gibson,Gibson Tristar Les Paul Tee
GA-GG-TLPSM,8138595401907,Gibson,Gibson Tristar Les Paul Tee
GA-GG-TLPMD,8138595238067,Gibson,Gibson Tristar Les Paul Tee
GA-GG-TLPLG,8138595532979,Gibson,Gibson Tristar Les Paul Tee
GA-GG-TLPXL,8138596974771,Gibson,Gibson Tristar Les Paul Tee
GA-GG-TLP2X,8138595860659,Gibson,Gibson Tristar Les Paul Tee
GA-LC-STRGXS,8138537074867,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRGSM,8138537205939,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRGMD,8138537271475,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRGLG,8138537533619,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRGXL,8138536976563,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRG2X,8138537631923,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-STRG3X,8138537402547,Gibson,Gibson Star Logo Tee (Charcoal)
GA-LC-BNRTXS,8167257145523,Gibson,Gibson Banner Tee
GA-LC-BNRTSM,8167257014451,Gibson,Gibson Banner Tee
GA-LC-BNRTMD,8167259799731,Gibson,Gibson Banner Tee
GA-LC-BNRTLG,8167259701427,Gibson,Gibson Banner Tee
GA-LC-BNRTXL,8167257079987,Gibson,Gibson Banner Tee
GA-LC-BNRT2X,8167260061875,Gibson,Gibson Banner Tee
GA-LC-BNRT3X,8167257178291,Gibson,Gibson Banner Tee
GA-LC-WHTTXS,8138534584499,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTTSM,8138535502003,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTTMD,8138535567539,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTTLG,8138535633075,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTTXL,8138535370931,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTT2X,8138536059059,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-WHTT3X,8138535698611,Gibson,Gibson Distressed Gibson Tee (White)
GA-LC-TGLTXS,8138536157363,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLTSM,8138536616115,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLTMD,8138536779955,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLTLG,8138536681651,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLTXL,8138536485043,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLT2X,8138536911027,Gibson,Gibson 'The Gibson' Tee
GA-LC-TGLT3X,8138536845491,Gibson,Gibson 'The Gibson' Tee
GA-SC-FEBSXS,8167254818995,Gibson,Gibson Four Explorers Tee
GA-SC-FEBSSM,8167255310515,Gibson,Gibson Four Explorers Tee
GA-SC-FEBSMD,8167255244979,Gibson,Gibson Four Explorers Tee
GA-SC-FEBSLG,8167255015603,Gibson,Gibson Four Explorers Tee
GA-SC-FEBSXL,8167255408819,Gibson,Gibson Four Explorers Tee
